open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,stock_id,date
107.66,107.73,104.5,105.98,105.98,20343116.0,0.0,1.0,2,2023-05-02
107.72,108.68,107.5,107.71,107.71,20926259.0,0.0,1.0,2,2023-05-01
107.8,108.29,106.04,108.22,108.22,23957872.0,0.0,1.0,2,2023-04-28
105.23,109.15,104.42,108.37,108.37,38235220.0,0.0,1.0,2,2023-04-27
105.56,107.02,103.27,104.45,104.45,36630202.0,0.0,1.0,2,2023-04-26
106.61,107.44,104.56,104.61,104.61,31408119.0,0.0,1.0,2,2023-04-25
106.05,107.32,105.36,106.78,106.78,21410908.0,0.0,1.0,2,2023-04-24
106.09,106.64,105.485,105.91,105.91,22379018.0,0.0,1.0,2,2023-04-21
104.65,106.8875,104.64,105.9,105.9,22515331.0,0.0,1.0,2,2023-04-20
104.215,105.725,103.8,105.02,105.02,16732016.0,0.0,1.0,2,2023-04-19
107.0,107.05,104.78,105.12,105.12,17641369.0,0.0,1.0,2,2023-04-18
105.43,106.71,105.32,106.42,106.42,28978949.0,0.0,1.0,2,2023-04-17
107.69,109.58,107.59,109.46,109.46,20758686.0,0.0,1.0,2,2023-04-14
106.47,108.265,106.44,108.19,108.19,21650747.0,0.0,1.0,2,2023-04-13
107.39,107.5874,104.97,105.22,105.22,22761569.0,0.0,1.0,2,2023-04-12
106.92,107.22,105.28,106.12,106.12,18721278.0,0.0,1.0,2,2023-04-11
107.39,107.97,105.6,106.95,106.95,19741517.0,0.0,1.0,2,2023-04-10
105.77,109.63,104.815,108.9,108.9,34684150.0,0.0,1.0,2,2023-04-06
106.12,106.54,104.1021,104.95,104.95,21864200.0,0.0,1.0,2,2023-04-05
104.84,106.1,104.6,105.12,105.12,20377231.0,0.0,1.0,2,2023-04-04
102.67,104.95,102.38,104.91,104.91,20719861.0,0.0,1.0,2,2023-04-03
101.71,104.19,101.44,104.0,104.0,28107953.0,0.0,1.0,2,2023-03-31
101.44,101.61,100.29,101.32,101.32,25009829.0,0.0,1.0,2,2023-03-30
102.72,102.82,101.03,101.9,101.9,26148300.0,0.0,1.0,2,2023-03-29
103.0,103.0,100.28,101.36,101.36,24913480.0,0.0,1.0,2,2023-03-28
105.32,105.4,102.63,103.06,103.06,25393417.0,0.0,1.0,2,2023-03-27
105.74,106.16,104.74,106.06,106.06,25245010.0,0.0,1.0,2,2023-03-24
105.89,107.1009,105.41,106.26,106.26,31385817.0,0.0,1.0,2,2023-03-23
105.14,107.51,104.21,104.22,104.22,32336877.0,0.0,1.0,2,2023-03-22
101.98,105.96,101.86,105.84,105.84,33122800.0,0.0,1.0,2,2023-03-21
101.06,102.58,100.79,101.93,101.93,26033916.0,0.0,1.0,2,2023-03-20
100.84,103.49,100.75,102.46,102.46,76140310.0,0.0,1.0,2,2023-03-17
96.57,101.97,95.87,101.07,101.07,54588200.0,0.0,1.0,2,2023-03-16
93.54,97.25,93.04,96.55,96.55,38367334.0,0.0,1.0,2,2023-03-15
93.07,94.83,92.78,94.25,94.25,32303881.0,0.0,1.0,2,2023-03-14
90.565,93.08,89.94,91.66,91.66,31508570.0,0.0,1.0,2,2023-03-13
92.5,93.18,90.8,91.01,91.01,32850092.0,0.0,1.0,2,2023-03-10
94.49,95.92,92.355,92.66,92.66,24438890.0,0.0,1.0,2,2023-03-09
94.405,96.24,94.405,94.65,94.65,25395200.0,0.0,1.0,2,2023-03-08
95.42,96.09,93.8443,94.17,94.17,24101536.0,0.0,1.0,2,2023-03-07
94.36,96.3,94.3,95.58,95.58,28288206.0,0.0,1.0,2,2023-03-06
92.74,94.11,92.66,94.02,94.02,30242538.0,0.0,1.0,2,2023-03-03
89.86,92.48,89.77,92.31,92.31,23344562.0,0.0,1.0,2,2023-03-02
90.16,91.2,89.85,90.51,90.51,26323876.0,0.0,1.0,2,2023-03-01
89.54,91.45,89.52,90.3,90.3,30546912.0,0.0,1.0,2,2023-02-28
90.09,90.4499,89.61,90.1,90.1,22724262.0,0.0,1.0,2,2023-02-27
89.63,90.13,88.86,89.35,89.35,31295619.0,0.0,1.0,2,2023-02-24
92.13,92.13,90.01,91.07,91.07,32423720.0,0.0,1.0,2,2023-02-23
91.934,92.36,90.87,91.8,91.8,29891135.0,0.0,1.0,2,2023-02-22
93.24,93.4149,92.0,92.05,92.05,28367198.0,0.0,1.0,2,2023-02-21
95.07,95.75,93.45,94.59,94.59,31095067.0,0.0,1.0,2,2023-02-17
95.54,97.88,94.97,95.78,95.78,35642106.0,0.0,1.0,2,2023-02-16
94.74,97.34,94.36,97.1,97.1,37029885.0,0.0,1.0,2,2023-02-15
94.66,95.175,92.65,94.95,94.95,42513079.0,0.0,1.0,2,2023-02-14
95.01,95.35,94.05,95.0,95.0,43116559.0,0.0,1.0,2,2023-02-13
95.74,97.02,94.53,94.86,94.86,49325275.0,0.0,1.0,2,2023-02-10
100.54,100.61,93.86,95.46,95.46,97798573.0,0.0,1.0,2,2023-02-09
102.69,103.58,98.455,100.0,100.0,73546029.0,0.0,1.0,2,2023-02-08
103.63,108.67,103.5475,108.04,108.04,33738828.0,0.0,1.0,2,2023-02-07
102.685,104.7,102.21,103.47,103.47,25573046.0,0.0,1.0,2,2023-02-06
103.51,108.02,103.3,105.22,105.22,36823421.0,0.0,1.0,2,2023-02-03
106.79,108.82,106.54,108.8,108.8,46622627.0,0.0,1.0,2,2023-02-02
99.74,102.1899,98.42,101.43,101.43,26392568.0,0.0,1.0,2,2023-02-01
97.86,99.91,97.79,99.87,99.87,22306778.0,0.0,1.0,2,2023-01-31
98.745,99.4088,97.52,97.95,97.95,24365142.0,0.0,1.0,2,2023-01-30
99.05,101.58,98.97,100.71,100.71,29020354.0,0.0,1.0,2,2023-01-27
98.28,99.21,96.82,99.16,99.16,24542060.0,0.0,1.0,2,2023-01-26
97.2,97.72,95.262,96.73,96.73,31000850.0,0.0,1.0,2,2023-01-25
99.55,101.09,98.7,99.21,99.21,27391372.0,0.0,1.0,2,2023-01-24
99.13,101.4,98.75,101.21,101.21,31791782.0,0.0,1.0,2,2023-01-23
95.95,99.42,95.91,99.28,99.28,53704763.0,0.0,1.0,2,2023-01-20
91.39,94.4,91.38,93.91,93.91,28707653.0,0.0,1.0,2,2023-01-19
92.94,93.588,91.4,91.78,91.78,19641622.0,0.0,1.0,2,2023-01-18
92.78,92.97,90.84,92.16,92.16,22935823.0,0.0,1.0,2,2023-01-17
91.528,92.98,90.93,92.8,92.8,18630709.0,0.0,1.0,2,2023-01-13
92.4,92.62,90.57,91.91,91.91,22754216.0,0.0,1.0,2,2023-01-12
90.06,92.45,89.74,92.26,92.26,25998844.0,0.0,1.0,2,2023-01-11
86.72,89.475,86.7,89.24,89.24,22855590.0,0.0,1.0,2,2023-01-10
